test,model,batch_size,floating_point,concurrency_range,kv_cache,Concurrency,Inferences/Second,Client Send,Network+Server Send/Recv,Server Queue,Server Compute Input,Server Compute Infer,Server Compute Output,Client Recv,p50 latency,p90 latency,p95 latency,p99 latency,request/response,response wait
omega,gemma3,1,fp16,1:64:16,0,49,0.642323,209,2978,70243180,15,1540416,43,0,73581478,75187610,75229470,75273560,209,71786625
omega,gemma3,1,fp16,1:64:16,0,1,0.642326,50,775,128,17,1520562,38,0,1521312,1523512,1523770,1527918,50,1521517
omega,gemma3,1,fp16,1:64:16,0,17,0.65968,63,871,24127185,16,1533147,41,0,25870751,26333939,26346074,26362752,63,25661254
omega,gemma3,1,fp16,1:64:16,0,33,0.65968,70,885,45777318,17,1500577,39,0,47532890,49436611,50688167,50691014,70,47278828
omega,mistral,1,fp16,1:64:16,0,33,0.374981,71,850,82248965,15,2614529,38,0,86245511,86270158,86275411,86277690,71,84864391
omega,mistral,1,fp16,1:64:16,0,17,0.374982,89,875,39123320,15,2619790,39,0,44588829,44820356,44841633,44844896,89,41744032
omega,mistral,1,fp16,1:64:16,0,49,0.374983,73,797,84291334,19,2617992,39,0,86319061,86445726,91686148,94314124,73,86910171
omega,mistral,1,fp16,1:64:16,0,1,0.374985,54,803,119,18,2633246,41,0,2631927,2661597,2671467,2675058,54,2634221
omega,meta-llama,1,fp16,1:64:16,0,33,0.333312,62,817,95407550,15,2971398,45,0,98364706,98969941,99004666,99060725,62,98379817
omega,meta-llama,1,fp16,1:64:16,0,17,0.333314,55,802,47524634,16,2981484,49,0,50703238,50890242,50897247,51036304,55,50506977
omega,meta-llama,1,fp16,1:64:16,0,1,0.333315,53,861,141,20,2963420,46,0,2901733,3147813,3151590,3154467,53,2964483
omega,meta-llama,1,fp16,1:64:16,0,49,0.333317,59,807,139676037,14,2928602,43,0,142519212,143698113,143698141,143703732,59,142605495
